source,target,http_code,notes
/monastrol-certificate-of-analysis.html,/monastrol-certificate-of-analysis/,301,monastrol-certificate-of-analysis
/monastrol-certificate-of-analysis/print.html,/monastrol-certificate-of-analysis/print/,301,Untitled
/monastrol-msds/print.html,/monastrol-msds/print/,301,Untitled
/monastrol-reference/print.html,/monastrol-reference/print/,301,Untitled
/chemical-and-analytical-products/print.html,/chemical-and-analytical-products/print/,301,Untitled
/2-chloro-4-nitro-imidazole.html,/2-chloro-4-nitro-imidazole/,301,2-chloro-4-nitro-imidazole
/compounds-for-screening/print.html,/compounds-for-screening/print/,301,Untitled
/building-blocks-and-intermediates/print.html,/building-blocks-and-intermediates/print/,301,Untitled
/biotinylation-reagents-a-labels/print.html,/biotinylation-reagents-a-labels/print/,301,Untitled
/biotinylation-reagents-a-labels-full-listing/print.html,/biotinylation-reagents-a-labels-full-listing/print/,301,Untitled
/2-chloro-4-nitro-imidazole/print.html,/2-chloro-4-nitro-imidazole/print/,301,Untitled
/bam15-st056388/print.html,/bam15-st056388/print/,301,Untitled
/photogem/print.html,/photogem/print/,301,Untitled
/hdm-inhibitor-st057529/print.html,/hdm-inhibitor-st057529/print/,301,Untitled
/news/new-products/purchase-your-plates-covers-strips-from-timtec/print.html,/news/new-products/purchase-your-plates-covers-strips-from-timtec/print/,301,Untitled
/inhibitor-prt4165/print.html,/inhibitor-prt4165/print/,301,Untitled
/mitochondrial-membrane-molecules/print.html,/mitochondrial-membrane-molecules/print/,301,Untitled
/services/print.html,/services/print/,301,Untitled
/sample-handling-weighing-plating-compound-library-management/print.html,/sample-handling-weighing-plating-compound-library-management/print/,301,Untitled
/compound-management-and-acquisition/print.html,/compound-management-and-acquisition/print/,301,Untitled
/custom-synthesis/print.html,/custom-synthesis/print/,301,Untitled
/cheminformatics-services/print.html,/cheminformatics-services/print/,301,Untitled
/molecular-diversity-and-similarity-analysis/print.html,/molecular-diversity-and-similarity-analysis/print/,301,Untitled
/software/chemdbsoft/chemdbsoft-lite.html,/software/chemdbsoft/chemdbsoft-lite/,301,chemdbsoft-lite
/software/chemdbsoft/chemdbsoft-full.html,/software/chemdbsoft/chemdbsoft-full/,301,chemdbsoft-full
/1-ched-demo/detail/1-chedt01.html,/1-ched-demo/detail/1-chedt01/,301,Untitled
/1-ched-demo/detail/2-chedt02.html,/1-ched-demo/detail/2-chedt02/,301,Untitled
/1-ched-demo/detail/3-chedt03.html,/1-ched-demo/detail/3-chedt03/,301,Untitled
/1-ched-demo/detail/4-chedt04.html,/1-ched-demo/detail/4-chedt04/,301,Untitled
/1-ched-demo/detail/5-chedt05.html,/1-ched-demo/detail/5-chedt05/,301,Untitled
/1-ched-demo/detail/6-chedt06.html,/1-ched-demo/detail/6-chedt06/,301,Untitled
/1-ched-demo/detail/7-chedt07.html,/1-ched-demo/detail/7-chedt07/,301,Untitled
/1-ched-demo/detail/8-chedt08.html,/1-ched-demo/detail/8-chedt08/,301,Untitled
/1-ched-demo/detail/9-chedt09.html,/1-ched-demo/detail/9-chedt09/,301,Untitled
/1-ched-demo/detail/10-chedt10.html,/1-ched-demo/detail/10-chedt10/,301,Untitled
/1-ched-demo/detail/11-chedt11.html,/1-ched-demo/detail/11-chedt11/,301,Untitled
/1-ched-demo/detail/12-chedt12.html,/1-ched-demo/detail/12-chedt12/,301,Untitled
/1-ched-demo/detail/13-chedt13.html,/1-ched-demo/detail/13-chedt13/,301,Untitled
/1-ched-demo/detail/14-chedt14.html,/1-ched-demo/detail/14-chedt14/,301,Untitled
/1-ched-demo/detail/15-chedt15.html,/1-ched-demo/detail/15-chedt15/,301,Untitled
/1-ched-demo/detail/16-chedt16.html,/1-ched-demo/detail/16-chedt16/,301,Untitled
/1-ched-demo/detail/17-chedt17.html,/1-ched-demo/detail/17-chedt17/,301,Untitled
/1-ched-demo/detail/18-chedt18.html,/1-ched-demo/detail/18-chedt18/,301,Untitled
/1-ched-demo/detail/19-chedt19.html,/1-ched-demo/detail/19-chedt19/,301,Untitled
/software/chemdbsoft/structure-editor.html,/software/chemdbsoft/structure-editor/,301,structure-editor
/software/chemdbsoft/nmr-mass-and-ir-spectra-processing.html,/software/chemdbsoft/nmr-mass-and-ir-spectra-processing/,301,nmr-mass-and-ir-spectra-processing
/software/chemdbsoft/diversity-and-similarity-analysis.html,/software/chemdbsoft/diversity-and-similarity-analysis/,301,diversity-and-similarity-analysis
/software/chemdbsoft/routines-for-synthesis-planning.html,/software/chemdbsoft/routines-for-synthesis-planning/,301,routines-for-synthesis-planning
/software/chemdbsoft/structure-processing.html,/software/chemdbsoft/structure-processing/,301,structure-processing
/software/chemdbsoft/tautomer-search.html,/software/chemdbsoft/tautomer-search/,301,tautomer-search
/software/chemdbsoft/additional-modules.html,/software/chemdbsoft/additional-modules/,301,additional-modules
