source_path,source_url,title,post_type,wp_slug,content_length
/o-glcnac-transferase-inhibitors.html,https://www.timtec.net/o-glcnac-transferase-inhibitors.html,o-glcnac-transferase-inhibitors,page,o-glcnac-transferase-inhibitors,170
/inhibitors-of-anthrax-lf.html,https://www.timtec.net/inhibitors-of-anthrax-lf.html,inhibitors-of-anthrax-lf,page,inhibitors-of-anthrax-lf,156
/news/blog/how-to-select-compound-collections-for-screening.html,https://www.timtec.net/news/blog/how-to-select-compound-collections-for-screening.html,how-to-select-compound-collections-for-screening,post,news/blog/how-to-select-compound-collections-for-screening,214
/targeted/print.html,https://www.timtec.net/targeted/print.html,Untitled,page,targeted/print,143
/actitarg-cns/print.html,https://www.timtec.net/actitarg-cns/print.html,Untitled,page,actitarg-cns/print,186
/gpcr-ligands-actitarg-g-library/print.html,https://www.timtec.net/gpcr-ligands-actitarg-g-library/print.html,Untitled,page,gpcr-ligands-actitarg-g-library/print,172
/actitarg-i-potassium-channel-modulators.html,https://www.timtec.net/actitarg-i-potassium-channel-modulators.html,actitarg-i-potassium-channel-modulators,page,actitarg-i-potassium-channel-modulators,186
/kinase-modulators-actitarg-k-library/print.html,https://www.timtec.net/kinase-modulators-actitarg-k-library/print.html,Untitled,page,kinase-modulators-actitarg-k-library/print,182
/news/timtec-in-publications/research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects.html,https://www.timtec.net/news/timtec-in-publications/research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects.html,research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects,post,news/timtec-in-publications/research-lead-target-family-oriented-focused-libraries-for-kinases-conceptual-design-aspects,321
/protease-inhibitors-actitarg-p-library/print.html,https://www.timtec.net/protease-inhibitors-actitarg-p-library/print.html,Untitled,page,protease-inhibitors-actitarg-p-library/print,186
/serine-proteinase-inhibitors-actitarg-s-library/print.html,https://www.timtec.net/serine-proteinase-inhibitors-actitarg-s-library/print.html,Untitled,page,serine-proteinase-inhibitors-actitarg-s-library/print,204
/actitarg-i-potassium-channel-modulators/print.html,https://www.timtec.net/actitarg-i-potassium-channel-modulators/print.html,Untitled,page,actitarg-i-potassium-channel-modulators/print,186
/actitarg-n-nuclear-receptor-ligands/print.html,https://www.timtec.net/actitarg-n-nuclear-receptor-ligands/print.html,Untitled,page,actitarg-n-nuclear-receptor-ligands/print,179
/hdac-inhibitors-actitarg-h-library/print.html,https://www.timtec.net/hdac-inhibitors-actitarg-h-library/print.html,Untitled,page,hdac-inhibitors-actitarg-h-library/print,178
/acticom-collection-of-active-compounds/print.html,https://www.timtec.net/acticom-collection-of-active-compounds/print.html,Untitled,page,acticom-collection-of-active-compounds/print,184
/activity-aimed-sets/print.html,https://www.timtec.net/activity-aimed-sets/print.html,Untitled,page,activity-aimed-sets/print,146
/anti-inflammatory.html,https://www.timtec.net/anti-inflammatory.html,anti-inflammatory,page,anti-inflammatory,142
/anti-inflammatory/print.html,https://www.timtec.net/anti-inflammatory/print.html,Untitled,page,anti-inflammatory/print,142
/anti-infectives/print.html,https://www.timtec.net/anti-infectives/print.html,Untitled,page,anti-infectives/print,138
/o-glcnac-transferase-inhibitors/print.html,https://www.timtec.net/o-glcnac-transferase-inhibitors/print.html,Untitled,page,o-glcnac-transferase-inhibitors/print,170
/aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results/print.html,https://www.timtec.net/aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results/print.html,Untitled,page,aryl-hydrocarbon-receptor-ahr-ligands-virtual-screen-results/print,232
/activators-of-neutrophils/print.html,https://www.timtec.net/activators-of-neutrophils/print.html,Untitled,page,activators-of-neutrophils/print,158
/inhibitors-of-anthrax-lf/print.html,https://www.timtec.net/inhibitors-of-anthrax-lf/print.html,Untitled,page,inhibitors-of-anthrax-lf/print,156
/news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers/print.html,https://www.timtec.net/news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers/print.html,Untitled,post,news/timtec-in-publications/potent-tumor-necrosis-factor-alpha-inducers/print,222
/ag-205-pgrmc1-inhibitor/print.html,https://www.timtec.net/ag-205-pgrmc1-inhibitor/print.html,Untitled,page,ag-205-pgrmc1-inhibitor/print,155
/fpss-st50051351/print.html,https://www.timtec.net/fpss-st50051351/print.html,Untitled,page,fpss-st50051351/print,139
/privileged-structures/print.html,https://www.timtec.net/privileged-structures/print.html,Untitled,page,privileged-structures/print,159
/natural-products/print.html,https://www.timtec.net/natural-products/print.html,Untitled,page,natural-products/print,140
